block_number,background_color_index,wave_color_index,is_glitch,has_echo,echo_count
346753,#ADFF2F,#00CCFF,false,true,4
346754,#008080,#9900FF,false,true,3
346755,#CC0033,#00CCFF,false,true,5
346756,#00FFFF,#FF0066,false,true,6
346757,#555555,#FF0066,true,true,6
346758,#9370DB,#00CCFF,false,true,4
346759,#edebeb,#FF0066,false,true,6
346760,#FFA500,#00CCFF,false,true,4
346761,#00FFFF,#FF0066,false,true,5
346762,#9370DB,#FF0066,false,true,5
346763,#555555,#00CCFF,false,true,4
346764,#edebeb,#FF0066,false,true,6
346765,#CC0033,#FF0066,false,true,5
346766,#00FFFF,#FF0066,false,true,6
346767,#9370DB,#FF0066,false,true,6
346768,#edebeb,#00CCFF,false,true,4
346769,#555555,#FF0066,false,true,6
346770,#edebeb,#00CCFF,false,true,4
346771,#555555,#FF0066,false,true,6
346772,#FFA500,#FF0066,false,true,6
346773,#555555,#FF0066,false,true,6
346774,#008080,#9900FF,false,true,3
346775,#FFA500,#9900FF,false,true,3
346776,#9370DB,#00CCFF,false,true,4
346777,#555555,#00CCFF,false,true,4
346778,#ADFF2F,#00CCFF,false,true,5
346779,#008080,#FF0066,false,true,5
346780,#9370DB,#00CCFF,false,true,4
346781,#edebeb,#FF0066,false,true,6
346782,#FFA500,#00CCFF,false,true,4
346783,#FFA500,#9900FF,false,true,3
346784,#ADFF2F,#FF0066,false,true,6
346785,#FFA500,#FF0066,false,true,5
346786,#008080,#00CCFF,false,true,4
346787,#9370DB,#FF0066,false,true,4
346788,#00FFFF,#FF0066,false,true,5
346789,#008080,#FF0066,false,true,5
346790,#edebeb,#FF0066,false,true,6
346791,#555555,#FF0066,true,true,6
346792,#008080,#FF0066,false,true,6
346793,#9370DB,#00CCFF,false,true,4
346794,#edebeb,#00CCFF,false,true,4
346795,#555555,#FF0066,false,true,6
346796,#008080,#FF0066,true,true,6
346797,#edebeb,#FF0066,false,true,6
346798,#edebeb,#FF0066,false,true,6
346799,#00FFFF,#FF0066,false,true,6
346800,#008080,#FF0066,true,true,6
346801,#9370DB,#FF0066,false,true,5
346802,#FFA500,#FF0066,false,true,6
346803,#edebeb,#00CCFF,false,true,4
346804,#00FFFF,#FF0066,false,true,5
346805,#008080,#FF0066,true,true,6
346806,#555555,#00CCFF,false,true,4
346807,#008080,#FF0066,false,true,6
346808,#008080,#FF0066,false,true,6
346809,#edebeb,#FF0066,true,true,6
346810,#CC0033,#FF0066,false,true,5
346811,#008080,#FF0066,false,true,6
346812,#9370DB,#00CCFF,false,true,5
346813,#edebeb,#FF0066,false,true,6
346814,#008080,#FF0066,false,true,5
346815,#FFA500,#00CCFF,false,true,4
346816,#ADFF2F,#FF0066,false,true,5
346817,#CC0033,#FF0066,false,true,6
346818,#555555,#00CCFF,false,true,4
346819,#edebeb,#FF0066,false,true,6
346820,#ADFF2F,#FF0066,false,true,5
346821,#9370DB,#FF0066,false,true,5
346822,#FFA500,#FF0066,false,true,6
346823,#FFA500,#FF0066,true,true,6
346824,#edebeb,#FF0066,false,true,6
346825,#edebeb,#00CCFF,false,true,5
346826,#FFA500,#00CCFF,false,true,4
346827,#9370DB,#FF0066,false,true,5
346828,#00FFFF,#FF0066,false,true,5
346829,#CC0033,#FF0066,false,true,5
346830,#ADFF2F,#00CCFF,false,true,4
346831,#ADFF2F,#FF0066,false,true,5
346832,#9370DB,#FF0066,false,true,5
346833,#008080,#FF0066,false,true,6
346834,#edebeb,#FF0066,false,true,6
346835,#008080,#FF0066,false,true,6
346836,#00FFFF,#FF0066,true,true,6
346837,#ADFF2F,#9900FF,false,true,4
346838,#00FFFF,#FF0066,false,true,6
346839,#edebeb,#FF0066,false,true,5
