number,total_transactions
590688,3349
590689,2309
590690,2694
590691,3136
590692,2389
590693,2984
590694,2441
590695,1675
590696,841
590697,2444
590698,2808
590699,2621
590700,643
590701,919
590702,2465
590703,630
590704,438
590705,2446
590706,624
590707,1927
590708,3170
590709,2607
590710,1286
590711,386
590712,1550
590713,1949
590714,1100
590715,1775
590716,602
590717,2318
590718,1208
590719,265
590720,2951
590721,3078
590722,2963
590723,2218
590724,1565
590725,439
590726,2358
590727,1351
590728,1179
590729,322
590730,61
590731,554
590732,1931
590733,75
590734,1
590735,1446
590736,829
590737,3244
590738,1976
590739,2450
590740,731
590741,1263
590742,140
590743,18
590744,2543
590745,1097
590746,639
590747,3001
590748,609
590749,87
590750,579
590751,1885
590752,2671
590753,57
590754,3079
590755,1002
590756,891
590757,836
590758,999
590759,2325
590760,357
590761,965
590762,1377
590763,810
590764,1964
590765,347
590766,2508
590767,2026
590768,304
590769,523
590770,3098
590771,2536
590772,2884
590773,2942
590774,2290
590775,3008
590776,2450
590777,2473
590778,3187
590779,3045
590780,2496
590781,2309
590782,2625
590783,2454
590784,2784
590785,2354
590786,2872
590787,2881
590788,2580
590789,2400
590790,2900
590791,2154
590792,2437
590793,2280
590794,3154
590795,2766
590796,2207
590797,2736
590798,2745
590799,2810
590800,2169
590801,2805
590802,2597
590803,951
590804,1130
590805,2207
590806,1340
590807,1246
590808,1001
590809,2785
590810,2878
590811,3025
590812,2370
590813,2937
590814,2423
590815,2546
590816,2570
590817,3291
590818,3362
590819,2363
590820,2545
590821,2729
590822,2918
590823,2924
590824,2996
590825,2503
590826,2949
590827,2351
590828,3382
590829,2932
590830,2805
590831,2683
590832,2447
590833,2713
590834,3007
590835,2244
590836,2659
590837,2217
590838,2181
590839,1817
590840,2005
590841,1638
590842,865
590843,146
590844,2682
590845,1802
590846,1640
590847,2617
590848,2838
590849,2989
590850,2934
590851,2765
590852,2451
590853,2869
590854,1924
590855,3030
590856,794
590857,2871
590858,2194
590859,1499
590860,2601
590861,2610
590862,2352
590863,3066
590864,2517
590865,1565
590866,751
590867,131
590868,3431
590869,2774
590870,2427
590871,2711
590872,1762
590873,3211
590874,2559
590875,2286
590876,2583
590877,3344
590878,1486
590879,650
590880,1929
590881,1988
590882,1115
590883,1668
590884,2272
590885,1988
590886,1155
590887,88
590888,2887
590889,2188
590890,1727
590891,1229
590892,283
590893,1479
590894,1887
590895,279
590896,2334
590897,2620
590898,1578
590899,562
590900,512
590901,2627
590902,2568
590903,1200
590904,1081
590905,1192
590906,160
590907,767
590908,2905
590909,2147
590910,2666
590911,2288
590912,2867
590913,2873
590914,2145
590915,2504
590916,2534
590917,3029
590918,2711
590919,1606
590920,2735
590921,2007
590922,283
590923,2564
590924,2869
590925,3088
590926,2625
590927,1584
590928,2986
590929,2768
590930,1868
590931,2956
590932,3004
590933,571
590934,2925
590935,2724
590936,2579
590937,2660
590938,2286
590939,2800
590940,2431
590941,3621
590942,2767
590943,2166
590944,2671
590945,2568
590946,1160
590947,2210
590948,1449
590949,2411
590950,1174
590951,2503
590952,3011
590953,2898
590954,362
590955,2971
590956,2632
590957,2818
590958,2259
590959,2455
590960,1375
590961,1168
590962,2376
590963,3155
590964,2817
590965,1084
590966,2388
590967,3308
590968,2491
590969,3048
590970,2179
590971,1358
590972,2499
590973,2933
590974,2662
590975,2660
590976,2286
590977,2844
590978,2487
590979,2021
590980,2686
590981,1227
590982,1411
590983,2129
590984,1191
590985,2839
590986,2283
590987,2306
590988,2456
590989,2232
590990,2522
590991,2705
590992,2599
590993,888
590994,3361
590995,3132
590996,3451
590997,1979
590998,2926
590999,2649
591000,3105
591001,2894
591002,2972
591003,2308
591004,2175
591005,2932
591006,2217
591007,2461
591008,1782
591009,2547
591010,2152
591011,2216
591012,2231
591013,1838
591014,2249
591015,1932
591016,1938
591017,2545
591018,1991
591019,1890
591020,2342
591021,1017
591022,2024
591023,786
591024,2220
591025,1334
591026,1958
591027,469
591028,3277
591029,2417
591030,2552
591031,2326
591032,2025
591033,1940
591034,1982
591035,2487
591036,2710
591037,2690
591038,3216
591039,2580
591040,2619
591041,250
591042,1688
591043,2603
591044,1746
591045,2541
591046,2636
591047,100
591048,2717
591049,154
591050,3087
591051,2823
591052,1716
591053,3071
591054,1969
591055,2092
591056,2157
591057,2526
591058,2246
591059,2532
591060,2233
591061,2903
591062,2558
591063,2253
591064,1935
591065,2302
591066,2462
